symbol,date,open,high,low,close,volume,sources
USDT,2025-07-18,1.000852696,1.037,0.9761,1.00081371,85695981530.285,2
USDT,2025-07-19,1.00080687345,1.005,0.9772,1.0007353669499999,42277819148.79,2
USDT,2025-07-20,1.0007309502,1.018,0.9533,1.0006084487,60610378016.125,2
USDT,2025-07-21,1.0006472332,1.026,0.9845,1.0006488408499998,71263338749.45,2
USDT,2025-07-22,1.0006348584999998,1.003,0.9686,1.00063571135,76403593633.645,2
USDT,2025-07-23,1.0006492834,1.038,0.9726,1.0007215094,70892495723.76,2
USDT,2025-07-24,1.0007012848999999,1.018,0.947,1.0008468235999999,70139549214.47,2
USDT,2025-07-25,1.0003468236000002,1.008,0.9757,1.00009809695,80333196033.21501,2
USDT,2025-07-26,1.00011759915,1.004,0.9935,1.0001779733,40697894442.10999,2
USDT,2025-07-27,1.0001790646,1.003,0.987,1.00013031925,46889541665.23499,2
USDT,2025-07-28,1.0001439671,1.015,0.9944,1.000027897,61247397502.395004,2
USDT,2025-07-29,1.0000077571000001,1.011,0.9914,0.99990298975,59616791340.515,2
USDT,2025-07-30,0.99992116955,1.008,0.9825,0.99997770125,58532779063.87,2
USDT,2025-07-31,0.9999811004,1.027,0.9977,0.99997835515,57754007258.04,2
USDT,2025-08-01,0.9999051516999999,1.024,0.9945,0.9995348294999999,74632456256.575,2
USDT,2025-08-02,0.9995446855000001,1.042,0.9924,0.9997334918,45416379107.104996,2
USDT,2025-08-03,0.9997905712999999,1.005,0.98,1.0000247729,34314356027.66,2
USDT,2025-08-04,1.00005911235,1.006,0.992,0.9999463584,47127232925.685,2
USDT,2025-08-05,0.99995763835,1.009,0.9869,0.99993608175,50116710893.04,2
USDT,2025-08-06,0.9999586409,1.007,0.9858,1.00009794235,43084260761.975,2
USDT,2025-08-07,1.0000960308,1.005,0.9332,1.0001435883,56875392348.585,2
USDT,2025-08-08,1.0001470562499999,1.015,0.968,1.0000454177,60062233127.13,2
